iter	Passed	Remaining
0	587	586725
1	1141	569624
2	1573	522917
3	2002	498720
4	2508	499182
5	2993	495931
6	3446	488940
7	3911	484967
8	4336	477535
9	4740	469303
10	5264	473324
11	5685	468092
12	6118	464544
13	6501	457883
14	6984	458637
15	7376	453643
16	7811	451680
17	8284	451951
18	8694	448890
19	9108	446314
20	9607	447875
21	10095	448772
22	10586	449692
23	10995	447169
24	11356	442909
25	11854	444077
26	12301	443318
27	12686	440399
28	13226	442843
29	13695	442805
30	14117	441279
31	14614	442102
32	15047	440949
33	15506	440576
34	16012	441497
35	16398	439115
36	16826	437944
37	17227	436125
38	17657	435098
39	18034	432836
40	18491	432524
41	19005	433501
42	19381	431348
43	19794	430087
44	20226	429242
45	20624	427727
46	21082	427483
47	21546	427337
48	21957	426163
49	22393	425472
50	22787	424034
51	23183	422658
52	23619	422038
53	24155	423173
54	24516	421230
55	24948	420564
56	25441	420899
57	25914	420892
58	26378	420708
59	26856	420753
60	27272	419820
61	27642	418204
62	28099	417920
63	28526	417194
64	29066	418116
65	29505	417552
66	29922	416680
67	30342	415868
68	30821	415864
69	31215	414724
70	31699	414778
71	32067	413319
72	32542	413243
73	32940	412197
74	33332	411106
75	33811	411078
76	34255	410615
77	34645	409529
78	35142	409704
79	35606	409469
80	36031	408801
81	36494	408559
82	36967	408419
83	37456	408450
84	37831	407246
85	38272	406757
86	38678	405905
87	39034	404543
88	39519	404518
89	39997	404419
90	40427	403826
91	40928	403942
92	41294	402727
93	41773	402625
94	42291	402884
95	42718	402270
96	43124	401456
97	43555	400888
98	43964	400119
99	44347	399124
100	44763	398436
101	45229	398192
102	45701	398000
103	46115	397302
104	46507	396419
105	46988	396301
106	47417	395736
107	47874	395404
108	48306	394868
109	48785	394722
110	49218	394193
111	49651	393666
112	50066	392999
113	50461	392180
114	50903	391736
115	51318	391081
116	51788	390850
117	52163	389901
118	52545	389011
119	53035	388929
120	53529	388862
121	53986	388527
122	54427	388070
123	54861	387567
124	55293	387056
125	55689	386291
126	56088	385555
127	56521	385049
128	57011	384935
129	57409	384200
130	57820	383556
131	58327	383548
132	58729	382846
133	59078	381806
134	59441	380862
135	59866	380330
136	60334	380064
137	60759	379527
138	61204	379118
139	61688	378945
140	62107	378373
141	62610	378308
142	63100	378164
143	63479	377350
144	63947	377070
145	64450	376993
146	64850	376309
147	65202	375357
148	65651	374962
149	66096	374545
150	66495	373872
151	67003	373811
152	67493	373639
153	67963	373357
154	68463	373234
155	68999	373306
156	69503	373196
157	69977	372917
158	70465	372714
159	70853	371983
160	71239	371244
161	71615	370456
162	72072	370089
163	72529	369721
164	72956	369203
165	73407	368807
166	73873	368482
167	74371	368315
168	74854	368069
169	75263	367465
170	75787	367412
171	76231	366973
172	76730	366796
173	77127	366132
174	77535	365524
175	77889	364665
176	78348	364299
177	78777	363790
178	79264	363552
179	79690	363035
180	80205	362918
181	80704	362728
182	81176	362412
183	81581	361796
184	81977	361145
185	82413	360667
186	82892	360383
187	83339	359954
188	83765	359438
189	84247	359160
190	84702	358767
191	85158	358373
192	85609	357962
193	85999	357296
194	86488	357041
195	86933	356604
196	87352	356059
197	87795	355616
198	88239	355176
199	88632	354528
200	89083	354116
201	89437	353322
202	89802	352575
203	90185	351898
204	90578	351268
205	91054	350958
206	91552	350729
207	91965	350176
208	92458	349926
209	92913	349532
210	93318	348951
211	93699	348278
212	94161	347910
213	94646	347627
214	95052	347050
215	95454	346465
216	95923	346121
217	96391	345773
218	96787	345165
219	97293	344950
220	97759	344592
221	98214	344191
222	98683	343842
223	99121	343385
224	99594	343047
225	100041	342620
226	100526	342319
227	100897	341634
228	101365	341277
229	101793	340786
230	102287	340515
231	102715	340025
232	103191	339691
233	103570	339038
234	104036	338671
235	104474	338215
236	104924	337795
237	105404	337470
238	105867	337094
239	106298	336611
240	106781	336296
241	107198	335771
242	107615	335245
243	108010	334655
244	108423	334121
245	108830	333569
246	109314	333255
247	109791	332915
248	110225	332446
249	110730	332192
250	111175	331753
251	111690	331525
252	112209	331306
253	112710	331030
254	113153	330584
255	113594	330135
256	114072	329789
257	114534	329396
258	114906	328747
259	115310	328192
260	115757	327758
261	116146	327159
262	116512	326501
263	116936	326005
264	117365	325522
265	117883	325286
266	118399	325045
267	118873	324683
268	119341	324305
269	119822	323963
270	120252	323483
271	120715	323092
272	121192	322735
273	121608	322219
274	122071	321824
275	122577	321544
276	122971	320969
277	123425	320551
278	123893	320169
279	124323	319688
280	124788	319298
281	125255	318912
282	125648	318338
283	126145	318028
284	126635	317699
285	127119	317354
286	127538	316847
287	128024	316504
288	128447	316007
289	128828	315408
290	129248	314904
291	129696	314468
292	130177	314113
293	130732	313935
294	131175	313488
295	131591	312974
296	132005	312457
297	132457	312030
298	132932	311658
299	133299	311032
300	133698	310483
301	134182	310129
302	134595	309613
303	135040	309171
304	135456	308663
305	135923	308269
306	136312	307702
307	136708	307150
308	137086	306558
309	137505	306061
310	137851	305400
311	138282	304929
312	138745	304531
313	139207	304128
314	139651	303685
315	140159	303382
316	140653	303049
317	141138	302693
318	141617	302324
319	142027	301809
320	142527	301483
321	142980	301058
322	143361	300481
323	143766	299958
324	144188	299468
325	144615	298990
326	144978	298380
327	145412	297918
328	145924	297615
329	146292	297017
330	146778	296660
331	147241	296256
332	147702	295848
333	148225	295563
334	148679	295140
335	149161	294772
336	149611	294339
337	150050	293886
338	150498	293450
339	150910	292944
340	151386	292563
341	151874	292202
342	152317	291756
343	152776	291341
344	153218	290892
345	153692	290506
346	154091	289975
347	154500	289465
348	154897	288935
349	155323	288457
350	155790	288056
351	156194	287540
352	156605	287035
353	157059	286611
354	157453	286077
355	157795	285450
356	158164	284873
357	158666	284536
358	159128	284125
359	159556	283655
360	160012	283234
361	160445	282773
362	160854	282271
363	161261	281765
364	161630	281192
365	162138	280862
366	162580	280417
367	163038	280000
368	163570	279709
369	164087	279391
370	164500	278896
371	164928	278427
372	165434	278089
373	165930	277734
374	166355	277259
375	166770	276768
376	167301	276469
377	167695	275943
378	168248	275679
379	168713	275269
380	169129	274779
381	169599	274378
382	170043	273934
383	170556	273600
384	170987	273135
385	171442	272709
386	171893	272275
387	172318	271800
388	172729	271304
389	173141	270810
390	173532	270284
391	173922	269756
392	174341	269274
393	174734	268754
394	175178	268310
395	175574	267796
396	175942	267237
397	176434	266868
398	176843	266373
399	177314	265971
400	177827	265632
401	178315	265255
402	178812	264891
403	179285	264490
404	179739	264061
405	180202	263645
406	180738	263336
407	181304	263069
408	181804	262705
409	182189	262175
410	182702	261829
411	183122	261349
412	183508	260822
413	184047	260511
414	184544	260140
415	184999	259710
416	185503	259349
417	185944	258898
418	186348	258396
419	186806	257970
420	187323	257625
421	187799	257223
422	188219	256743
423	188679	256319
424	189108	255852
425	189590	255457
426	190080	255072
427	190526	254628
428	191003	254225
429	191518	253873
430	191935	253390
431	192469	253061
432	192946	252656
433	193380	252196
434	193844	251774
435	194319	251367
436	194769	250927
437	195250	250527
438	195760	250162
439	196227	249744
440	196704	249337
